,self_employeed,company_size,tech_company,tech_prole,mh_benefits,anonymity,leaving_difficulty,disc_mh_coworker,disc_mh_supervisor,reveal_mh_business,reveal_mh_coworkers,affects_productivity,productivity_percent,mention_ph_interview,mention_mh_interview,share_mh_ff,exp_unsupport,reveal_less,family_history,mh_in_past,mh_currently,mh_diagnosed,sought_treatment,age,gender,country_live,state_live,country_work,state_work,year
12,0,100-500,1.0,,Yes,Yes,,,,,,,,No,,Somewhat open,No,,Yes,Yes,Yes,,,30.0,Female,United States of America,New Jersey,United States of America,New Jersey,2016
13,0,100-500,0.0,1.0,Yes,Yes,,,,,,,,Yes,,Not open at all,"Yes, I experienced",,No,Maybe,Maybe,,,44.0,Male,Canada,,Canada,,2016
14,0,100-500,1.0,,Yes,Yes,,,,,,,,No,,Somewhat open,No,,Yes,Yes,Yes,,,35.0,Male,United States of America,Georgia,United States of America,Georgia,2016
15,0,100-500,1.0,,I don't know,I don't know,,,,,,,,Maybe,,Neutral,No,,Yes,Yes,Yes,,,52.0,m,United States of America,Oregon,United States of America,Oregon,2016
16,0,26-100,1.0,,Not eligible for coverage / N/A,I don't know,,,,,,,,Yes,,Very open,"Yes, I experienced",,Yes,Yes,Yes,,,32.0,I identify as female.,Canada,,Canada,,2016
17,0,500-1000,1.0,,No,I don't know,,,,,,,,No,,Somewhat open,Maybe/Not sure,,No,No,No,,,34.0,Male,United Kingdom,,United Kingdom,,2016
18,1,,,,,,,,,"No, because it would impact me negatively","No, because it would impact me negatively",Yes,76-100%,No,,Somewhat not open,"Yes, I observed",,I don't know,Yes,Yes,,,25.0,female ,United States of America,Washington,United States of America,Washington,2016
19,0,100-500,0.0,1.0,I don't know,I don't know,,,,,,,,Yes,,Somewhat not open,No,,Yes,Yes,Yes,,,31.0,M,United States of America,New Jersey,United States of America,New York,2016
20,0,6-25,1.0,,No,I don't know,,,,,,,,Maybe,,Somewhat not open,Maybe/Not sure,,Yes,Maybe,No,,,26.0,Male,United States of America,New York,United States of America,New York,2016
21,0,More than 1000,0.0,1.0,Yes,I don't know,,,,,,,,No,,Neutral,No,,No,No,No,,,35.0,male,United States of America,Indiana,United States of America,Indiana,2016
22,0,26-100,1.0,,Yes,I don't know,,,,,,,,Maybe,,Neutral,No,,I don't know,Maybe,No,,,25.0,male,Germany,,Germany,,2016
23,0,1-5,1.0,,Yes,I don't know,,,,,,,,No,,Somewhat open,"Yes, I observed",,Yes,Yes,No,,,33.0,Male,Canada,,Canada,,2016
24,1,,,,,,,,,Not applicable to me,Not applicable to me,Not applicable to me,,Maybe,,Not applicable to me (I do not have a mental illness),,,No,No,No,,,38.0,Male,United States of America,New York,United States of America,New York,2016
25,0,100-500,0.0,1.0,Yes,Yes,,,,,,,,Maybe,,Very open,Maybe/Not sure,,No,No,No,,,42.0,male,Germany,,Germany,,2016
26,0,26-100,0.0,1.0,No,I don't know,,,,,,,,No,,Somewhat open,Maybe/Not sure,,I don't know,Yes,Yes,,,27.0,Male,Netherlands,,Netherlands,,2016
27,0,100-500,1.0,,I don't know,I don't know,,,,,,,,Maybe,,Somewhat not open,Maybe/Not sure,,No,No,Maybe,,,35.0,male,Germany,,Germany,,2016
28,0,500-1000,0.0,1.0,I don't know,I don't know,,,,,,,,Maybe,,Neutral,"Yes, I observed",,Yes,Yes,Maybe,,,34.0,female,United Kingdom,,United Kingdom,,2016
29,0,6-25,1.0,,Not eligible for coverage / N/A,Yes,,,,,,,,No,,Somewhat not open,"Yes, I observed",,Yes,Yes,Yes,,,32.0,Bigender,United Kingdom,,United Kingdom,,2016
30,0,100-500,1.0,,Not eligible for coverage / N/A,I don't know,,,,,,,,Maybe,,Very open,Maybe/Not sure,,Yes,Yes,Yes,,,32.0,non-binary,Germany,,Germany,,2016
31,0,100-500,1.0,,Yes,Yes,,,,,,,,No,,Very open,No,,No,Yes,Yes,,,30.0,Male,United States of America,New York,United States of America,New York,2016
32,0,More than 1000,1.0,,I don't know,I don't know,,,,,,,,No,,Somewhat open,No,,I don't know,Yes,Maybe,,,31.0,Male,United States of America,Minnesota,United States of America,Minnesota,2016
33,1,,,,,,,,,"No, because it doesn't matter","Sometimes, if it comes up",Yes,1-25%,No,,Somewhat open,No,,No,No,No,,,37.0,Male ,Czech Republic,,Czech Republic,,2016
34,0,26-100,1.0,,Yes,Yes,,,,,,,,Yes,,Somewhat not open,Maybe/Not sure,,No,Yes,Yes,,,36.0,Male,United Kingdom,,United Kingdom,,2016
35,0,100-500,1.0,,No,I don't know,,,,,,,,No,,Somewhat open,No,,No,No,No,,,33.0,Male,Germany,,Germany,,2016
36,0,26-100,1.0,,Yes,Yes,,,,,,,,Yes,,Somewhat open,"Yes, I experienced",,Yes,Yes,Yes,,,44.0,Male,United States of America,Washington,United States of America,Washington,2016
37,0,100-500,1.0,,No,I don't know,,,,,,,,Maybe,,Somewhat open,"Yes, I observed",,No,No,Maybe,,,29.0,male,United Kingdom,,United Kingdom,,2016
38,0,100-500,1.0,,No,I don't know,,,,,,,,Yes,,Very open,No,,Yes,Yes,Maybe,,,29.0,male,United Kingdom,,United Kingdom,,2016
39,0,More than 1000,1.0,,Yes,I don't know,,,,,,,,Yes,,Very open,"Yes, I observed",,I don't know,No,No,,,44.0,Male,Canada,,Canada,,2016
40,1,,,,,,,,,"No, because it doesn't matter","Sometimes, if it comes up",Yes,26-50%,Maybe,,Somewhat open,"Yes, I observed",,Yes,Yes,Yes,,,34.0,Male,United States of America,Georgia,United States of America,Georgia,2016
41,0,100-500,1.0,,Yes,Yes,,,,,,,,Maybe,,Somewhat open,Maybe/Not sure,,I don't know,Yes,Yes,,,40.0,male,United States of America,Minnesota,United States of America,Minnesota,2016
42,0,More than 1000,1.0,,Yes,Yes,,,,,,,,Maybe,,Very open,Maybe/Not sure,,Yes,Yes,Yes,,,46.0,Female assigned at birth ,Netherlands,,Netherlands,,2016
43,1,,,,,,,,,"No, because it would impact me negatively","Sometimes, if it comes up",Yes,51-75%,Yes,,Somewhat open,"Yes, I experienced",,Yes,Yes,Yes,,,28.0,M,Lithuania,,Lithuania,,2016
44,0,More than 1000,0.0,1.0,No,No,,,,,,,,No,,Somewhat open,No,,No,No,No,,,41.0,Male,United States of America,Georgia,United States of America,Georgia,2016
45,0,6-25,1.0,,Yes,I don't know,,,,,,,,No,,Somewhat open,"Yes, I experienced",,Yes,Yes,Yes,,,33.0,male,United States of America,Kentucky,United States of America,Kentucky,2016
46,1,,,,,,,,,"Sometimes, if it comes up","Sometimes, if it comes up",Yes,1-25%,Yes,,Very open,"Yes, I observed",,Yes,Yes,Yes,,,32.0,Male,United States of America,West Virginia,United States of America,Ohio,2016
47,0,6-25,1.0,,I don't know,I don't know,,,,,,,,Maybe,,Somewhat not open,No,,I don't know,Maybe,Maybe,,,45.0,Male,United States of America,Virginia,United States of America,Virginia,2016
48,1,,,,,,,,,"No, because it doesn't matter",Not applicable to me,Yes,26-50%,Yes,,Neutral,Maybe/Not sure,,Yes,Yes,Maybe,,,43.0,male,United Kingdom,,United Kingdom,,2016
49,0,6-25,1.0,,Yes,Yes,,,,,,,,No,,Somewhat open,No,,No,Maybe,Yes,,,37.0,F,United States of America,California,United States of America,California,2016
50,0,26-100,1.0,,No,I don't know,,,,,,,,No,,Neutral,Maybe/Not sure,,I don't know,Yes,Yes,,,37.0,M,Australia,,Australia,,2016
51,0,6-25,1.0,,Yes,Yes,,,,,,,,Yes,,Somewhat open,Maybe/Not sure,,Yes,No,No,,,27.0,Male,United States of America,California,United States of America,California,2016
52,1,,,,,,,,,Not applicable to me,Not applicable to me,Not applicable to me,,Yes,,Not applicable to me (I do not have a mental illness),,,No,No,No,,,31.0,Male,Netherlands,,Netherlands,,2016
53,0,More than 1000,1.0,,Yes,I don't know,,,,,,,,Maybe,,Neutral,"Yes, I experienced",,Yes,Yes,Yes,,,36.0,Male,United States of America,California,United States of America,California,2016
54,0,500-1000,0.0,1.0,Yes,I don't know,,,,,,,,Maybe,,Neutral,No,,No,Maybe,Maybe,,,34.0,Male,United States of America,Florida,United States of America,Florida,2016
55,0,More than 1000,0.0,0.0,Yes,I don't know,,,,,,,,No,,Somewhat not open,No,,No,No,No,,,31.0,Woman,United States of America,Massachusetts,United States of America,Massachusetts,2016
56,0,26-100,1.0,,Yes,I don't know,,,,,,,,Maybe,,Somewhat open,No,,Yes,Maybe,Maybe,,,30.0,Male,United States of America,Oregon,United States of America,Oregon,2016
57,0,100-500,0.0,1.0,Yes,Yes,,,,,,,,Yes,,Somewhat not open,Maybe/Not sure,,Yes,Maybe,Maybe,,,32.0,Male,Canada,,Canada,,2016
58,0,6-25,0.0,1.0,Yes,I don't know,,,,,,,,Maybe,,Somewhat not open,No,,I don't know,Maybe,Maybe,,,40.0,female,United States of America,North Dakota,United States of America,North Dakota,2016
59,0,100-500,0.0,1.0,I don't know,I don't know,,,,,,,,Yes,,Not applicable to me (I do not have a mental illness),No,,I don't know,No,No,,,40.0,Male,United States of America,Tennessee,United States of America,Tennessee,2016
60,0,More than 1000,1.0,,Yes,I don't know,,,,,,,,Maybe,,Somewhat open,Maybe/Not sure,,I don't know,No,Maybe,,,41.0,man,France,,France,,2016
61,0,26-100,0.0,1.0,Not eligible for coverage / N/A,I don't know,,,,,,,,Yes,,Somewhat open,Maybe/Not sure,,No,Yes,Maybe,,,27.0,Male,United Kingdom,,United Kingdom,,2016
62,0,26-100,1.0,,Yes,I don't know,,,,,,,,Maybe,,Somewhat open,"Yes, I observed",,No,No,No,,,30.0,Male,United States of America,New York,United States of America,New York,2016
63,1,,,,,,,,,Not applicable to me,Not applicable to me,Not applicable to me,,No,,Neutral,"Yes, I observed",,I don't know,Maybe,Maybe,,,29.0,Male,Venezuela,,Venezuela,,2016
64,1,,,,,,,,,Not applicable to me,Not applicable to me,Not applicable to me,,No,,Somewhat not open,No,,No,No,No,,,38.0,Male,United Kingdom,,United Kingdom,,2016
65,1,,,,,,,,,Not applicable to me,Not applicable to me,Not applicable to me,,No,,Not applicable to me (I do not have a mental illness),,,No,No,No,,,35.0,male,Netherlands,,Netherlands,,2016
66,0,6-25,0.0,0.0,No,I don't know,,,,,,,,Yes,,Somewhat open,"Yes, I experienced",,Yes,Yes,Yes,,,35.0,female,United States of America,Indiana,United States of America,Indiana,2016
67,0,More than 1000,1.0,,Yes,I don't know,,,,,,,,Yes,,Somewhat open,"Yes, I observed",,Yes,Yes,Yes,,,29.0,M,United States of America,Texas,United States of America,Texas,2016
68,0,100-500,1.0,,Yes,Yes,,,,,,,,Maybe,,Somewhat open,No,,Yes,Maybe,No,,,28.0,Male,United States of America,New York,United States of America,New York,2016
69,0,26-100,0.0,1.0,No,Yes,,,,,,,,No,,Very open,No,,I don't know,Yes,Maybe,,,27.0,Male,Netherlands,,Netherlands,,2016
70,1,,,,,,,,,Not applicable to me,"Sometimes, if it comes up",No,,Yes,,Not applicable to me (I do not have a mental illness),Maybe/Not sure,,No,Yes,No,,,39.0,Male,Poland,,Poland,,2016
71,0,100-500,1.0,,Yes,I don't know,,,,,,,,Yes,,Somewhat open,No,,No,No,No,,,28.0,male,Belgium,,Belgium,,2016
72,0,6-25,0.0,1.0,I don't know,I don't know,,,,,,,,No,,Not open at all,No,,Yes,No,No,,,46.0,Male,United States of America,Texas,United States of America,Texas,2016
73,0,1-5,1.0,,No,I don't know,,,,,,,,Yes,,Very open,No,,No,Yes,No,,,40.0,male,Netherlands,,Netherlands,,2016
74,0,26-100,1.0,,Yes,Yes,,,,,,,,Maybe,,Somewhat open,No,,Yes,Maybe,Maybe,,,37.0,Male,United States of America,Tennessee,United States of America,Tennessee,2016
75,0,26-100,1.0,,No,I don't know,,,,,,,,Maybe,,Somewhat open,No,,Yes,No,No,,,41.0,Male,Netherlands,,Netherlands,,2016
76,1,,,,,,,,,"No, because it would impact me negatively","No, because it would impact me negatively",Unsure,,No,,Somewhat open,Maybe/Not sure,,I don't know,Yes,Yes,,,19.0,M,France,,France,,2016
77,0,6-25,1.0,,I don't know,No,,,,,,,,Maybe,,Somewhat open,No,,No,No,No,,,38.0,F,Netherlands,,Netherlands,,2016
78,0,26-100,1.0,,I don't know,I don't know,,,,,,,,Yes,,Neutral,No,,No,No,No,,,33.0,Male ,United States of America,Maryland,United States of America,District of Columbia,2016
79,0,26-100,1.0,,Yes,Yes,,,,,,,,Yes,,Very open,No,,Yes,Yes,Yes,,,33.0,Male,United States of America,Wisconsin,United States of America,Tennessee,2016
80,0,1-5,1.0,,Yes,Yes,,,,,,,,No,,Somewhat open,No,,No,No,No,,,21.0,male,United Kingdom,,United Kingdom,,2016
81,0,1-5,1.0,,No,I don't know,,,,,,,,No,,Somewhat not open,"Yes, I experienced",,Yes,Yes,Yes,,,36.0,Male,Brazil,,Brazil,,2016
82,1,,,,,,,,,"No, because it would impact me negatively","Sometimes, if it comes up",Yes,1-25%,Maybe,,Somewhat not open,"Yes, I observed",,Yes,Yes,Yes,,,39.0,Male,Canada,,Canada,,2016
83,0,26-100,1.0,,I don't know,Yes,,,,,,,,Yes,,Somewhat open,No,,No,No,No,,,35.0,Male,United States of America,Illinois,United States of America,Illinois,2016
84,1,,,,,,,,,"Sometimes, if it comes up","Sometimes, if it comes up",Unsure,,No,,Very open,Maybe/Not sure,,Yes,Yes,Yes,,,36.0,male,France,,France,,2016
85,0,6-25,1.0,,Yes,I don't know,,,,,,,,Maybe,,Somewhat not open,"Yes, I experienced",,No,Maybe,Maybe,,,45.0,Male,United States of America,Michigan,United States of America,Michigan,2016
86,0,26-100,1.0,,I don't know,I don't know,,,,,,,,Yes,,Somewhat open,No,,No,Maybe,Maybe,,,41.0,Male,Canada,,Canada,,2016
87,0,26-100,1.0,,I don't know,I don't know,,,,,,,,Maybe,,Neutral,"Yes, I experienced",,I don't know,Yes,Yes,,,35.0,Male,United Kingdom,,United Kingdom,,2016
88,1,,,,,,,,,"Sometimes, if it comes up","Yes, always",Yes,26-50%,Yes,,Somewhat open,No,,I don't know,Maybe,Maybe,,,30.0,Male,United States of America,Texas,United States of America,Texas,2016
89,0,26-100,1.0,,I don't know,Yes,,,,,,,,No,,Very open,No,,Yes,Yes,Yes,,,24.0,Female,United States of America,Illinois,United States of America,Illinois,2016
90,0,100-500,0.0,1.0,No,I don't know,,,,,,,,Maybe,,Somewhat open,,,I don't know,Yes,No,,,33.0,Male,Brazil,,Brazil,,2016
91,0,More than 1000,1.0,,Yes,I don't know,,,,,,,,No,,Somewhat not open,No,,Yes,Yes,Maybe,,,35.0,male,United States of America,Washington,United States of America,Washington,2016
92,0,6-25,1.0,,No,I don't know,,,,,,,,Yes,,Somewhat open,Maybe/Not sure,,No,No,Yes,,,26.0,Male,United Kingdom,,United Kingdom,,2016
93,0,6-25,1.0,,No,I don't know,,,,,,,,Yes,,Not open at all,"Yes, I observed",,No,No,No,,,17.0,male,Brazil,,Brazil,,2016
94,0,6-25,0.0,1.0,I don't know,I don't know,,,,,,,,Maybe,,Somewhat open,,,No,Yes,Yes,,,29.0,Female,United States of America,North Dakota,United States of America,North Dakota,2016
95,0,100-500,1.0,,Yes,I don't know,,,,,,,,Yes,,Somewhat open,No,,Yes,Yes,Yes,,,26.0,Male,United States of America,California,United States of America,California,2016
96,0,26-100,1.0,,I don't know,I don't know,,,,,,,,No,,Not applicable to me (I do not have a mental illness),"Yes, I observed",,No,No,No,,,36.0,female,United States of America,Vermont,United States of America,Vermont,2016
97,0,26-100,1.0,,I don't know,Yes,,,,,,,,Maybe,,Somewhat open,No,,I don't know,No,No,,,46.0,M,United States of America,Illinois,United States of America,Illinois,2016
98,1,,,,,,,,,"No, because it doesn't matter","No, because it doesn't matter",Unsure,,Maybe,,Somewhat open,"Yes, I observed",,Yes,Yes,Yes,,,39.0,Male,Netherlands,,Netherlands,,2016
99,0,100-500,1.0,,Yes,I don't know,,,,,,,,No,,Somewhat open,No,,Yes,Yes,Yes,,,28.0,Female,United States of America,California,United States of America,California,2016
100,0,500-1000,1.0,,Yes,I don't know,,,,,,,,No,,Not applicable to me (I do not have a mental illness),,,No,No,No,,,40.0,Male,United States of America,Washington,United States of America,Washington,2016
101,0,100-500,1.0,,I don't know,I don't know,,,,,,,,Maybe,,Very open,No,,I don't know,Yes,Yes,,,23.0,Male,United States of America,Pennsylvania,United States of America,Pennsylvania,2016
102,0,6-25,1.0,,I don't know,I don't know,,,,,,,,Yes,,Somewhat open,No,,Yes,No,No,,,30.0,Male,United States of America,North Carolina,United States of America,North Carolina,2016
103,0,26-100,1.0,,I don't know,I don't know,,,,,,,,No,,Somewhat open,No,,Yes,Maybe,No,,,28.0,fm,United States of America,Illinois,United States of America,Illinois,2016
104,0,26-100,1.0,,No,I don't know,,,,,,,,No,,Somewhat open,Maybe/Not sure,,I don't know,Maybe,Maybe,,,27.0,Male,Netherlands,,Netherlands,,2016
105,1,,,,,,,,,"No, because it would impact me negatively","No, because it would impact me negatively",Yes,51-75%,Maybe,,Somewhat open,Maybe/Not sure,,No,Yes,Maybe,,,31.0,m,United States of America,Indiana,United States of America,Indiana,2016
106,0,26-100,1.0,,Yes,I don't know,,,,,,,,Maybe,,Somewhat open,Maybe/Not sure,,Yes,Yes,Maybe,,,39.0,f,United States of America,North Carolina,United States of America,North Carolina,2016
107,0,More than 1000,1.0,,Yes,Yes,,,,,,,,Maybe,,Somewhat open,Maybe/Not sure,,Yes,No,Yes,,,34.0,Female,United States of America,New York,United States of America,New York,2016
108,0,6-25,1.0,,Yes,Yes,,,,,,,,No,,Somewhat not open,No,,No,Yes,Yes,,,30.0,Male,United States of America,North Carolina,United States of America,North Carolina,2016
109,1,,,,,,,,,"Sometimes, if it comes up","Sometimes, if it comes up",Yes,1-25%,Yes,,Somewhat open,No,,I don't know,Yes,Yes,,,30.0,male,Denmark,,Denmark,,2016
110,0,100-500,0.0,0.0,I don't know,I don't know,,,,,,,,Yes,,Not applicable to me (I do not have a mental illness),Maybe/Not sure,,No,No,Maybe,,,31.0,Male,United States of America,Indiana,United States of America,Missouri,2016
111,0,26-100,1.0,,Yes,Yes,,,,,,,,Yes,,Somewhat open,No,,Yes,Yes,Yes,,,30.0,M,United States of America,California,United States of America,California,2016
112,0,More than 1000,1.0,,Yes,I don't know,,,,,,,,No,,Somewhat open,No,,Yes,Maybe,Maybe,,,32.0,Male,United States of America,Kansas,United States of America,Kansas,2016
113,1,,,,,,,,,"No, because it doesn't matter","Sometimes, if it comes up",Yes,76-100%,Maybe,,Somewhat not open,"Yes, I observed",,Yes,No,No,,,22.0,Male,Czech Republic,,Czech Republic,,2016
114,1,,,,,,,,,"No, because it would impact me negatively","Sometimes, if it comes up",Yes,26-50%,Maybe,,Somewhat open,"Yes, I observed",,Yes,Yes,Yes,,,37.0,Female,Belgium,,Belgium,,2016
115,0,26-100,0.0,1.0,Yes,Yes,,,,,,,,Maybe,,Somewhat open,No,,No,No,No,,,51.0,Male,United States of America,Indiana,United States of America,Indiana,2016
116,0,26-100,0.0,1.0,I don't know,I don't know,,,,,,,,Maybe,,Very open,No,,Yes,Yes,Yes,,,26.0,Male,United States of America,Tennessee,United States of America,Tennessee,2016
117,0,26-100,1.0,,Yes,Yes,,,,,,,,Yes,,Very open,"Yes, I observed",,Yes,Yes,No,,,41.0,f,United States of America,Minnesota,United States of America,Minnesota,2016
118,0,100-500,1.0,,I don't know,I don't know,,,,,,,,Maybe,,Somewhat open,No,,Yes,Yes,Yes,,,39.0,F,United States of America,District of Columbia,United States of America,District of Columbia,2016
119,0,6-25,1.0,,Yes,No,,,,,,,,No,,Neutral,Maybe/Not sure,,Yes,Yes,Maybe,,,43.0,M,United States of America,Tennessee,United States of America,Tennessee,2016
120,0,500-1000,1.0,,I don't know,I don't know,,,,,,,,Yes,,Very open,No,,Yes,No,Maybe,,,30.0,M,United Kingdom,,United Kingdom,,2016
121,0,26-100,1.0,,Yes,I don't know,,,,,,,,Maybe,,Not applicable to me (I do not have a mental illness),No,,I don't know,No,No,,,24.0,Female,United States of America,Illinois,United States of America,Illinois,2016
122,1,,,,,,,,,"No, because it would impact me negatively","No, because it would impact me negatively",Yes,76-100%,Maybe,,Somewhat open,,,No,Yes,Yes,,,30.0,m,Netherlands,,Netherlands,,2016
123,0,26-100,0.0,1.0,No,I don't know,,,,,,,,Maybe,,Somewhat open,"Yes, I experienced",,Yes,Yes,Yes,,,28.0,Cis female ,Germany,,Germany,,2016
124,1,,,,,,,,,"No, because it would impact me negatively","No, because it would impact me negatively",Yes,1-25%,No,,Somewhat open,"Yes, I experienced",,I don't know,Yes,Yes,,,48.0,Female,United States of America,Washington,United States of America,Washington,2016
125,1,,,,,,,,,Not applicable to me,Not applicable to me,Yes,26-50%,Maybe,,Somewhat open,"Yes, I observed",,Yes,Maybe,Maybe,,,55.0,Female,United States of America,Nevada,United States of America,Nevada,2016
126,0,1-5,0.0,1.0,I don't know,I don't know,,,,,,,,Maybe,,Somewhat open,"Yes, I observed",,I don't know,Maybe,Maybe,,,36.0,F,United States of America,Indiana,United States of America,Indiana,2016
127,1,,,,,,,,,Not applicable to me,Not applicable to me,Not applicable to me,,Yes,,Somewhat open,No,,No,No,No,,,38.0,Male,Netherlands,,Netherlands,,2016
128,0,100-500,1.0,,I don't know,I don't know,,,,,,,,No,,Very open,No,,No,No,No,,,34.0,Male,France,,France,,2016
129,0,26-100,1.0,,Yes,No,,,,,,,,Maybe,,Neutral,No,,No,No,No,,,44.0,Female,United States of America,Illinois,United States of America,Illinois,2016
130,0,More than 1000,0.0,1.0,I don't know,I don't know,,,,,,,,No,,Somewhat open,No,,I don't know,Yes,Maybe,,,45.0,Male,United States of America,Georgia,United States of America,Georgia,2016
131,0,6-25,1.0,,Yes,I don't know,,,,,,,,Maybe,,Not open at all,"Yes, I observed",,I don't know,Yes,Maybe,,,45.0,M,United States of America,Oregon,United States of America,Oregon,2016
132,0,500-1000,1.0,,No,I don't know,,,,,,,,Yes,,Somewhat open,"Yes, I observed",,Yes,Yes,Yes,,,30.0,male,United States of America,Utah,United States of America,Utah,2016
133,0,More than 1000,0.0,1.0,Yes,Yes,,,,,,,,No,,Neutral,"Yes, I observed",,I don't know,Yes,Yes,,,34.0,Male,United States of America,Tennessee,United States of America,Tennessee,2016
134,0,More than 1000,1.0,,I don't know,I don't know,,,,,,,,No,,Somewhat open,Maybe/Not sure,,Yes,No,No,,,37.0,Male,United States of America,Connecticut,United States of America,Connecticut,2016
135,0,More than 1000,0.0,1.0,Yes,Yes,,,,,,,,Maybe,,Not applicable to me (I do not have a mental illness),No,,No,No,No,,,38.0,Male,United States of America,Tennessee,United States of America,Tennessee,2016
136,0,26-100,1.0,,Yes,I don't know,,,,,,,,Maybe,,Neutral,No,,No,No,Maybe,,,31.0,Male,United States of America,Virginia,United States of America,Virginia,2016
137,0,26-100,1.0,,I don't know,I don't know,,,,,,,,Yes,,Somewhat open,No,,No,No,No,,,33.0,Male,United States of America,Florida,United States of America,Florida,2016
138,0,100-500,1.0,,Yes,I don't know,,,,,,,,Maybe,,Somewhat open,Maybe/Not sure,,I don't know,Yes,Yes,,,29.0,female,United States of America,New York,United States of America,New York,2016
139,0,100-500,1.0,,Yes,Yes,,,,,,,,Yes,,Very open,"Yes, I experienced",,Yes,Yes,Yes,,,35.0,M,United States of America,California,United States of America,California,2016
140,0,1-5,1.0,,No,No,,,,,,,,No,,Somewhat open,"Yes, I experienced",,Yes,Yes,Yes,,,42.0,"Transitioned, M2F",Canada,,Canada,,2016
141,0,26-100,1.0,,I don't know,I don't know,,,,,,,,No,,Somewhat open,Maybe/Not sure,,I don't know,No,No,,,26.0,Female,United States of America,Illinois,United States of America,Illinois,2016
142,0,500-1000,1.0,,Yes,I don't know,,,,,,,,Maybe,,Somewhat open,Maybe/Not sure,,Yes,Maybe,Maybe,,,36.0,f,United States of America,Maryland,United States of America,Maryland,2016
143,0,26-100,1.0,,I don't know,I don't know,,,,,,,,Maybe,,Somewhat not open,No,,Yes,Yes,Yes,,,21.0,male,United Kingdom,,United Kingdom,,2016
144,0,26-100,1.0,,Yes,No,,,,,,,,Yes,,Very open,No,,I don't know,Yes,Yes,,,34.0,F,United States of America,Washington,United States of America,Washington,2016
145,1,,,,,,,,,"No, because it doesn't matter","No, because it doesn't matter",Not applicable to me,,No,,Very open,No,,I don't know,Maybe,Maybe,,,40.0,M,Germany,,Germany,,2016
146,0,26-100,1.0,,Yes,I don't know,,,,,,,,Maybe,,Somewhat open,"Yes, I experienced",,No,Yes,Yes,,,35.0,Male,United States of America,Indiana,United States of America,Indiana,2016
147,0,6-25,1.0,,Yes,No,,,,,,,,Maybe,,Very open,Maybe/Not sure,,No,No,No,,,44.0,Male,United States of America,Oregon,United States of America,Oregon,2016
148,0,6-25,1.0,,I don't know,I don't know,,,,,,,,Maybe,,Very open,"Yes, I experienced",,Yes,Yes,No,,,35.0,Genderfluid (born female),Canada,,Canada,,2016
149,0,More than 1000,1.0,,No,I don't know,,,,,,,,No,,Somewhat open,"Yes, I observed",,No,No,No,,,45.0,m,United States of America,Michigan,United States of America,Michigan,2016
